"SKU","Cód. de Barras (EAN)","Descripción","Marca","Categoría","Subcategoría","UN","Ubicación","Stock Actual","Stock Mínimo","Stock Máximo","Lote","Fecha de Fabricación","Fecha de Vencimiento","Costo Unitario","Precio de Venta Unitario","Proveedor Principal","Tiempo de Reposición","","","","","","","",""
"MER-001","7891000000001","Arroz Blanco Tipo 1 5kg","Verde Valle","Abarrotes","Granos","UN","Pasillo 1","150","50","300","L-202601","1/10/2026","1/10/2027","18.5","25.9","Distribuidora Granos S.A.","3 días","","","","","","","",""
"MER-002","7891000000002","Arroz Parbolizado 5kg","Goya","Abarrotes","Granos","UN","Pasillo 1","80","30","200","L-202602","2/15/2026","2/15/2027","19","26.5","Distribuidora Granos S.A.","3 días","","","","","","","",""
"MER-003","7891000000003","Arroz Integral 1kg","Costeño","Abarrotes","Granos","UN","Pasillo 1","45","15","100","L-202603","3/20/2026","3/20/2027","5.5","8.9","Distribuidora Granos S.A.","3 días","","","","","","","",""
"MER-004","7891000000004","Arroz Blanco Tipo 1 5kg","Diana","Abarrotes","Granos","UN","Pasillo 1","120","50","300","L-202604","4/5/2026","4/5/2027","19.2","26.9","Mayorista Sur","4 días","","","","","","","",""
"MER-005","7891000000005","Arroz Arborio 1kg","Gallo","Abarrotes","Granos Especiales","UN","Pasillo 1","20","10","50","L-202605","5/10/2026","5/10/2027","15","22.9","Importadora Roma","7 días","","","","","","","",""
"MER-006","7891000000006","Frijol Pinto (Carioca) 1kg","Verde Valle","Abarrotes","Granos","UN","Pasillo 1","200","80","400","L-202606","5/15/2026","11/15/2026","5.2","7.99","Distribuidora Granos S.A.","3 días","","","","","","","",""
"MER-007","7891000000007","Frijol Negro 1kg","Goya","Abarrotes","Granos","UN","Pasillo 1","150","50","300","L-202607","5/20/2026","11/20/2026","5.5","8.49","Distribuidora Granos S.A.","3 días","","","","","","","",""
"MER-008","7891000000008","Frijol Pinto 1kg","La Merced","Abarrotes","Granos","UN","Pasillo 1","180","80","400","L-202608","6/1/2026","12/1/2026","5.8","8.9","Distribuidora Granos S.A.","3 días","","","","","","","",""
"MER-009","7891000000009","Frijol Carita / Fríjol Blanco con ojo 500g","Goya","Abarrotes","Granos","UN","Pasillo 1","60","20","150","L-202609","1/10/2026","1/10/2027","4.5","6.99","General Mills","5 días","","","","","","","",""
"MER-010","7891000000010","Frijol Blanco 500g","Verde Valle","Abarrotes","Granos","UN","Pasillo 1","50","15","100","L-202610","2/15/2026","2/15/2027","5","7.8","General Mills","5 días","","","","","","","",""
"MER-011","7891000000011","Pasta Espagueti 500g","La Moderna","Abarrotes","Pastas","UN","Pasillo 2","150","50","300","L-202611","3/1/2026","3/1/2028","3.2","4.99","Grupo La Moderna","4 días","","","","","","","",""
"MER-012","7891000000012","Pasta Penne 500g","Doria","Abarrotes","Pastas","UN","Pasillo 2","100","40","250","L-202612","3/15/2026","3/15/2028","3.2","4.99","Grupo Nutresa","4 días","","","","","","","",""
"MER-013","7891000000013","Pasta Tornillo / Fusilli 500g","Lucchetti","Abarrotes","Pastas","UN","Pasillo 2","120","40","250","L-202613","4/10/2026","4/10/2028","2.9","4.5","Tresmontes","4 días","","","","","","","",""
"MER-014","7891000000014","Pasta Espagueti 500g","Barilla","Abarrotes","Pastas Premium","UN","Pasillo 2","80","30","150","L-202614","4/20/2026","4/20/2028","5.5","8.9","Importadora Roma","7 días","","","","","","","",""
"MER-015","7891000000015","Sopa Instantánea Pollo 85g","Maruchan","Abarrotes","Pastas Instantáneas","UN","Pasillo 2","300","100","600","L-202615","5/5/2026","2/5/2027","1.4","2.29","Toyo Suisan","3 días","","","","","","","",""
"MER-016","7891000000016","Aceite de Soya 900ml","Cocinero","Abarrotes","Aceites","UN","Pasillo 3","400","150","800","L-202616","6/1/2026","6/1/2027","4.8","6.49","Molinos","3 días","","","","","","","",""
"MER-017","7891000000017","Aceite de Soya 900ml","Natura","Abarrotes","Aceites","UN","Pasillo 3","350","150","800","L-202617","6/5/2026","6/5/2027","4.7","6.39","AGD","3 días","","","","","","","",""
"MER-018","7891000000018","Aceite de Girasol 900ml","Capullo","Abarrotes","Aceites Especiales","UN","Pasillo 3","60","20","120","L-202618","5/10/2026","5/10/2027","9","13.9","ACH Foods","3 días","","","","","","","",""
"MER-019","7891000000019","Aceite de Oliva Extra Virgen 500ml","Gallo","Abarrotes","Aceites","UN","Pasillo 3","100","30","200","L-202619","1/15/2026","1/15/2028","25","38.9","Importadora Lusa","5 días","","","","","","","",""
"MER-020","7891000000020","Aceite de Oliva Extra Virgen 500ml","Carbonell","Abarrotes","Aceites","UN","Pasillo 3","90","30","200","L-202620","2/20/2026","2/20/2028","24.5","37.9","Deoleo","5 días","","","","","","","",""
"MER-021","7891000000021","Harina de Trigo Tradicional 1kg","Blanca Flor","Abarrotes","Harinas","UN","Pasillo 4","150","50","350","L-202621","4/1/2026","10/1/2026","3.5","5.49","Alicorp","3 días","","","","","","","",""
"MER-022","7891000000022","Harina de Trigo Leudante 1kg","Selecta","Abarrotes","Harinas","UN","Pasillo 4","100","40","250","L-202622","4/15/2026","10/15/2026","3.8","5.99","Molinerías","3 días","","","","","","","",""
"MER-023","7891000000023","Harina de Maíz Precocida 1kg","P.A.N.","Abarrotes","Harinas","UN","Pasillo 4","80","30","200","L-202623","5/10/2026","5/10/2027","4","6.5","Empresas Polar","5 días","","","","","","","",""
"MER-024","7891000000024","Harina de Maíz 1kg","Maseca","Abarrotes","Harinas","UN","Pasillo 4","90","30","200","L-202624","5/20/2026","5/20/2027","2.5","4.2","Gruma","5 días","","","","","","","",""
"MER-025","7891000000025","Premezcla para Pastel Chocolate 400g","Betty Crocker","Abarrotes","Postres","UN","Pasillo 4","70","25","150","L-202625","6/1/2026","6/1/2027","3.9","6.2","General Mills","4 días","","","","","","","",""
"MER-026","7891000000026","Azúcar Refinada 1kg","Domino","Abarrotes","Azúcares","UN","Pasillo 5","400","150","800","L-202626","6/5/2026","6/5/2028","3.3","4.89","ASR Group","3 días","","","","","","","",""
"MER-027","7891000000027","Azúcar Blanca 1kg","Incauca","Abarrotes","Azúcares","UN","Pasillo 5","300","100","600","L-202627","6/10/2026","6/10/2028","3","4.5","Incauca S.A.","3 días","","","","","","","",""
"MER-028","7891000000028","Azúcar Mascabado / Rubia 500g","Ledesma","Abarrotes","Azúcares","UN","Pasillo 5","50","15","100","L-202628","5/15/2026","5/15/2027","6.5","9.9","Ledesma","5 días","","","","","","","",""
